Wavelength (µm) raw,<125 µm (357) raw,Wavelength (µm) bin avg,<125 µm (357) bin avg,Wavelength (µm) cubic spline of bin avg,<125 µm (357) cubic spline of bin avg
1.62,0.57741,,,,
1.625,0.57629,,,,
1.63,0.57597,,,,
1.635,0.5759,,,,
1.64,0.57623,,,,
1.645,0.57543,,,,
1.65,0.5756,,,,
1.655,0.57482,,,,
1.66,0.57535,,,,
1.665,0.57485,,,,
1.67,0.57474,,,,
1.675,0.57456,,,,
1.68,0.57392,,,,
1.685,0.57328,,,,
1.69,0.57292,,,,
1.695,0.57319,,,,
1.7,0.57193,,,,
1.705,0.57159,,,,
1.71,0.57196,,,,
1.715,0.57121,,,,
1.72,0.57072,,,,
1.725,0.57089,,,,
1.73,0.56969,,,,
1.735,0.56973,,,,
1.74,0.56912,,,,
1.745,0.56835,,,,
1.75,0.56843,,,,
1.755,0.56781,,,,
1.7533,0.56767,,,,
1.7557,0.5674,,,,
1.7581,0.5674,,,,
1.7605,0.56737,,,,
1.7629,0.56728,,,,
1.7653,0.56718,,,,
1.7677,0.56698,,,,
1.7701,0.56686,,,,
1.7725,0.56682,,,,
1.775,0.56672,,,,
1.7774,0.56676,,,,
1.7798,0.56681,,,,
1.7823,0.56671,,,,
1.7847,0.56683,,,,
1.7872,0.56678,,,,
1.7897,0.5666,,,,
1.7921,0.56655,,,,
1.7946,0.56645,,,,
1.7971,0.56625,,,,
1.7996,0.56623,,,,
1.8021,0.56619,,,,
1.8046,0.56603,,,,
1.8071,0.56604,,,,
1.8097,0.56603,,,,
1.8122,0.56612,,,,
1.8147,0.56618,,,,
1.8173,0.56611,,,,
1.8198,0.56593,,,,
1.8224,0.5659,,,,
1.825,0.56603,,,,
1.8275,0.56596,,,,
1.8301,0.56576,,,,
1.8327,0.56589,,,,
1.8353,0.56614,,,,
1.8379,0.56618,,,,
1.8405,0.56615,,,,
1.8431,0.56615,,,,
1.8458,0.5662,,,,
1.8484,0.56628,,,,
1.851,0.56636,,,,
1.8537,0.56641,,,,
1.8563,0.56646,,,,
1.859,0.56645,,,,
1.8617,0.56659,,,,
1.8643,0.5668,,,,
1.867,0.56682,,,,
1.8697,0.56679,,,,
1.8724,0.5668,,,,
1.8751,0.56688,,,,
1.8779,0.56682,,,,
1.8806,0.56685,,,,
1.8833,0.56692,,,,
1.8861,0.56706,,,,
1.8888,0.56726,,,,
1.8916,0.56713,,,,
1.8943,0.56704,,,,
1.8971,0.56698,,,,
1.8999,0.56713,,,,
1.9027,0.56718,,,,
1.9055,0.56723,,,,
1.9083,0.56726,,,,
