Wavelength (µm),Microcline hs108.13761,Wavelength (µm) target,Microcline hs108.13761 target
2.828234,0.376007,,
2.829778,0.374416,,
2.831324,0.372909,,
2.832871,0.371485,,
2.83442,0.370229,,
2.835971,0.368638,,
2.837523,0.36713,,
2.839077,0.365874,,
2.840632,0.364618,,
2.84219,0.363446,,
2.843749,0.362022,,
2.84531,0.360682,,
2.846872,0.359258,,
2.848437,0.358002,,
2.850003,0.356662,,
2.85157,0.355239,,
2.85314,0.35415,,
2.854711,0.353229,,
2.856283,0.352392,,
2.857857,0.351219,,
2.859434,0.349879,,
2.861012,0.348791,,
2.862592,0.347786,,
2.864173,0.346446,,
2.865757,0.345273,,
2.867342,0.344687,,
2.868929,0.343682,,
2.870517,0.34251,,
2.872108,0.341421,,
2.873699,0.340333,,
2.875293,0.339328,,
